id,emb_index
9267401708,0
9267401709,1
9268831887,2
9269802217,3
9272685334,4
9275006917,5
9279727242,6
9279727248,7
9279727251,8
9279727252,9
9279727257,10
9279727258,11
9279727259,12
9279727260,13
9279727261,14
9280154425,15
9280601417,16
9285901517,17
9287015491,18
9292731840,19
9295690695,20
9297833107,21
9300189154,22
9312364154,23
9315300942,24
9315570256,25
9318417707,26
9318918540,27
9319425572,28
9323544320,29
9325422782,30
9325576378,31
9327266099,32
9327797017,33
9329632702,34
9330759658,35
9332338671,36
9335544918,37
9341192277,38
9346535789,39
9347323817,40
9349890817,41
9350338153,42
9352099886,43
9353110338,44
9354067938,45
9355484921,46
9364042395,47
9370749112,48
9372122983,49
9376038536,50
9379959323,51
9382501929,52
9385388717,53
9391217117,54
9401004604,55
9403075432,56
9404161917,57
9404174817,58
9404174918,59
9421209831,60
9433085507,61
9434056001,62
9434059486,63
9434135569,64
9434214037,65
9434238126,66
9438051179,67
9441358645,68
9444851106,69
9444906902,70
9446969967,71
9447068693,72
9447068695,73
9447068700,74
9447068716,75
9447079019,76
9447079058,77
9447079059,78
9447079064,79
9447079065,80
9447079066,81
9447079069,82
9447079070,83
9447079072,84
9447079073,85
9447079075,86
9447079084,87
9447079092,88
9448657472,89
9448657493,90
9449489159,91
9453472847,92
9455057019,93
9461595421,94
9461991617,95
9473366788,96
9483250703,97
9483250706,98
9483250711,99
9483259788,100
9483259790,101
9483259792,102
9484623360,103
9484640526,104
9485713871,105
9485725052,106
9485824361,107
9485857879,108
9488925857,109
9488994630,110
9488994644,111
9494870890,112
9500681860,113
9501475195,114
9501558443,115
9504112860,116
9504157627,117
9504157628,118
9504157629,119
9504157630,120
9504157632,121
9504157633,122
9504157634,123
9504157636,124
9504157637,125
9504157638,126
9504157640,127
9504157641,128
9504157644,129
9504157645,130
9504157652,131
9504157653,132
9504157654,133
9504307351,134
9505181658,135
9505181660,136
9520662973,137
9521042617,138
9521050820,139
9524120217,140
9529144856,141
9532518717,142
9545097617,143
9547228318,144
9547228417,145
9549113864,146
9550007141,147
9553879236,148
9563186877,149
9565742233,150
9565773968,151
9565789145,152
9569023312,153
9571222317,154
9571242917,155
9573677585,156
9573713328,157
9575524617,158
9576403198,159
9582689944,160
9584503964,161
9588883395,162
9588883401,163
9588883407,164
9588884624,165
9589795917,166
9590244470,167
9592829508,168
9593260957,169
9597790488,170
9599506456,171
9603685814,172
9608140117,173
9609123713,174
9623487763,175
9624823101,176
9626474599,177
9627013902,178
9627013903,179
9631093490,180
9632440254,181
9633334718,182
9633471587,183
9642568317,184
9645290007,185
9645290008,186
9645295525,187
9645295527,188
9649407817,189
9651965377,190
9653327616,191
9653716391,192
9654380808,193
9654758717,194
9656243805,195
9656246810,196
9656254733,197
9660953744,198
9661206812,199
9662627473,200
9663484950,201
9663715761,202
9664426307,203
9664445876,204
9664469862,205
9664483824,206
9664667803,207
9665557619,208
9670186317,209
9670655621,210
9671890017,211
9671912617,212
9671915517,213
9671928817,214
9672069730,215
9674515901,216
9674865686,217
9680515287,218
9680515288,219
9680547862,220
9680649559,221
9681975502,222
9682885738,223
9682902403,224
9682914091,225
9682922942,226
9686385918,227
9688690528,228
9688693413,229
9688696588,230
9690396577,231
9691758917,232
9695531787,233
9695663317,234
9695665617,235
9696727011,236
9696727015,237
9698255554,238
9699864956,239
9699864959,240
9703035117,241
9705434117,242
9706163595,243
9707952643,244
9708591785,245
9708591836,246
9708740805,247
9708981010,248
9708981011,249
9709052550,250
9709098683,251
9709776817,252
9710398181,253
9710880917,254
9710945067,255
9710945069,256
9710945079,257
9710945082,258
9711042730,259
9711042736,260
9711042741,261
9711042761,262
9711052243,263
9711231549,264
9711684080,265
9711956398,266
9712563603,267
9712563604,268
9712563605,269
9712563606,270
9712563607,271
9713251820,272
9714106146,273
9714188046,274
9714188048,275
9714379922,276
9715623662,277
9717870634,278
9723473569,279
9724812605,280
9726818414,281
9727089717,282
9727563370,283
9732536190,284
9732648343,285
9732648346,286
9732648348,287
9733263358,288
9733565725,289
9733565726,290
9733565727,291
9733565734,292
9733565735,293
9733565736,294
9733565737,295
9733565738,296
9733565772,297
9733565774,298
9733565775,299
9733565776,300
9733565777,301
9733565781,302
9733565955,303
9733565956,304
9734729187,305
9736284696,306
9737591250,307
9738007457,308
9738431630,309
9738431631,310
9739165112,311
9739165114,312
9739229364,313
9739229365,314
9739242354,315
9739242355,316
9739242357,317
9739265918,318
9739348527,319
9739348932,320
9739349735,321
